Geslacht;Leeftijd;Vervoerwijzen;Reismotieven;Marges;Perioden;Ritten per persoon per dag (gemiddeld) (aantal);Afgelegde afstand per rit (gemiddeld) (km);Reisduur per rit (Minuten)
Totaal mannen en vrouwen;Totaal;Trein;Vrije tijd;Waarde;2019*;    0.02;   63.31;   64.06
Totaal mannen en vrouwen;Totaal;Trein;Vrije tijd;Waarde;2020*;    0.01;   62.14;   63.88
Totaal mannen en vrouwen;Totaal;Trein;Vrije tijd;Waarde;2021*;    0.01;   61.60;   65.39
Totaal mannen en vrouwen;Totaal;Trein;Vrije tijd;Waarde;2022*;    0.02;   60.80;   63.67
Totaal mannen en vrouwen;Totaal;Trein;Vrije tijd;Waarde;2023*;    0.02;   59.98;   62.43
Totaal mannen en vrouwen;Totaal;Trein;Overige reismotieven;Waarde;1999*;    0.01;   67.94;   60.15
Totaal mannen en vrouwen;Totaal;Trein;Overige reismotieven;Waarde;2003*;    0.01;   64.97;   59.53
Totaal mannen en vrouwen;Totaal;Trein;Overige reismotieven;Waarde;2007*;    0.01;   62.44;   58.81
Totaal mannen en vrouwen;Totaal;Trein;Overige reismotieven;Waarde;2011*;    0.01;   61.98;   58.72
Totaal mannen en vrouwen;Totaal;Trein;Overige reismotieven;Waarde;2015*;    0.01;   61.53;   58.49
Totaal mannen en vrouwen;Totaal;Trein;Overige reismotieven;Waarde;2019*;    0.01;   60.88;   57.88
Totaal mannen en vrouwen;Totaal;Trein;Overige reismotieven;Waarde;2020*;    0.00;   55.68;   53.95
Totaal mannen en vrouwen;Totaal;Trein;Overige reismotieven;Waarde;2021*;    0.00;   54.07;   53.44
Totaal mannen en vrouwen;Totaal;Trein;Overige reismotieven;Waarde;2022*;    0.01;   55.75;   55.24
Totaal mannen en vrouwen;Totaal;Trein;Overige reismotieven;Waarde;2023*;    0.01;   56.33;   56.12
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Totaal;Waarde;1999*;    0.16;   11.99;   27.45
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Totaal;Waarde;2003*;    0.14;   11.35;   27.13
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Totaal;Waarde;2007*;    0.13;   10.10;   26.90
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Totaal;Waarde;2011*;    0.13;    9.64;   26.71
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Totaal;Waarde;2015*;    0.12;    9.14;   26.43
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Totaal;Waarde;2019*;    0.12;    8.53;   26.06
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Totaal;Waarde;2020*;    0.06;    8.14;   25.79
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Totaal;Waarde;2021*;    0.06;    8.72;   28.13
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Totaal;Waarde;2022*;    0.08;    8.70;   27.65
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Totaal;Waarde;2023*;    0.10;    8.48;   27.24
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Van en naar het werk;Waarde;1999*;    0.04;   12.21;   25.63
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Van en naar het werk;Waarde;2003*;    0.04;   11.31;   25.35
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Van en naar het werk;Waarde;2007*;    0.04;   10.20;   25.36
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Van en naar het werk;Waarde;2011*;    0.04;    9.66;   25.18
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Van en naar het werk;Waarde;2015*;    0.04;    9.07;   24.86
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Van en naar het werk;Waarde;2019*;    0.04;    8.42;   24.49
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Van en naar het werk;Waarde;2020*;    0.02;    7.93;   24.08
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Van en naar het werk;Waarde;2021*;    0.02;    8.63;   25.68
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Van en naar het werk;Waarde;2022*;    0.02;    8.77;   26.01
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Van en naar het werk;Waarde;2023*;    0.03;    8.63;   25.96
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Winkelen, boodschappen doen;Waarde;1999*;    0.03;    9.09;   25.27
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Winkelen, boodschappen doen;Waarde;2003*;    0.02;    8.61;   24.92
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Winkelen, boodschappen doen;Waarde;2007*;    0.02;    8.22;   24.70
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Winkelen, boodschappen doen;Waarde;2011*;    0.02;    7.57;   24.58
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Winkelen, boodschappen doen;Waarde;2015*;    0.02;    7.02;   24.03
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Winkelen, boodschappen doen;Waarde;2019*;    0.01;    6.56;   23.80
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Winkelen, boodschappen doen;Waarde;2020*;    0.01;    5.88;   22.35
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Winkelen, boodschappen doen;Waarde;2021*;    0.01;    6.57;   24.47
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Winkelen, boodschappen doen;Waarde;2022*;    0.01;    6.81;   24.67
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Winkelen, boodschappen doen;Waarde;2023*;    0.01;    6.64;   24.85
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Onderwijs volgen, cursus, kinderopvang;Waarde;1999*;    0.03;   13.55;   27.43
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Onderwijs volgen, cursus, kinderopvang;Waarde;2003*;    0.03;   13.36;   27.76
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Onderwijs volgen, cursus, kinderopvang;Waarde;2007*;    0.03;   11.96;   27.76
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Onderwijs volgen, cursus, kinderopvang;Waarde;2011*;    0.03;   11.21;   27.65
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Onderwijs volgen, cursus, kinderopvang;Waarde;2015*;    0.03;   10.86;   27.46
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Onderwijs volgen, cursus, kinderopvang;Waarde;2019*;    0.03;   10.02;   26.89
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Onderwijs volgen, cursus, kinderopvang;Waarde;2020*;    0.01;    9.98;   26.77
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Onderwijs volgen, cursus, kinderopvang;Waarde;2021*;    0.02;    9.89;   28.04
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Onderwijs volgen, cursus, kinderopvang;Waarde;2022*;    0.02;    9.98;   28.21
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Onderwijs volgen, cursus, kinderopvang;Waarde;2023*;    0.02;    9.59;   28.06
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Vrije tijd;Waarde;1999*;    0.04;   12.48;   31.66
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Vrije tijd;Waarde;2003*;    0.03;   11.92;   31.01
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Vrije tijd;Waarde;2007*;    0.03;   10.18;   30.40
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Vrije tijd;Waarde;2011*;    0.03;   10.16;   29.94
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Vrije tijd;Waarde;2015*;    0.03;    9.38;   29.20
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Vrije tijd;Waarde;2019*;    0.03;    8.59;   28.53
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Vrije tijd;Waarde;2020*;    0.01;    8.39;   29.50
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Vrije tijd;Waarde;2021*;    0.02;    9.15;   32.77
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Vrije tijd;Waarde;2022*;    0.02;    8.87;   30.58
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Vrije tijd;Waarde;2023*;    0.03;    8.65;   29.31
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Overige reismotieven;Waarde;1999*;    0.02;   12.16;   26.73
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Overige reismotieven;Waarde;2003*;    0.02;   10.66;   26.43
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Overige reismotieven;Waarde;2007*;    0.01;    8.57;   25.77
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Overige reismotieven;Waarde;2011*;    0.01;    7.96;   25.52
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Overige reismotieven;Waarde;2015*;    0.01;    7.38;   25.16
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Overige reismotieven;Waarde;2019*;    0.01;    7.44;   25.18
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Overige reismotieven;Waarde;2020*;    0.01;    6.64;   24.41
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Overige reismotieven;Waarde;2021*;    0.01;    7.74;   26.44
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Overige reismotieven;Waarde;2022*;    0.01;    7.40;   26.10
Totaal mannen en vrouwen;Totaal;Bus/tram/metro;Overige reismotieven;Waarde;2023*;    0.01;    7.19;   25.74
Totaal mannen en vrouwen;Totaal;Fiets;Totaal;Waarde;1999*;    0.87;    3.18;   19.02
Totaal mannen en vrouwen;Totaal;Fiets;Totaal;Waarde;2003*;    0.87;    3.26;   19.09
Totaal mannen en vrouwen;Totaal;Fiets;Totaal;Waarde;2007*;    0.85;    3.37;   19.29
Totaal mannen en vrouwen;Totaal;Fiets;Totaal;Waarde;2011*;    0.85;    3.45;   19.47
Totaal mannen en vrouwen;Totaal;Fiets;Totaal;Waarde;2015*;    0.84;    3.58;   19.98
Totaal mannen en vrouwen;Totaal;Fiets;Totaal;Waarde;2019*;    0.82;    3.67;   20.21
Totaal mannen en vrouwen;Totaal;Fiets;Totaal;Waarde;2020*;    0.65;    3.95;   22.34
Totaal mannen en vrouwen;Totaal;Fiets;Totaal;Waarde;2021*;    0.67;    3.99;   22.86
Totaal mannen en vrouwen;Totaal;Fiets;Totaal;Waarde;2022*;    0.78;    3.82;   21.42
Totaal mannen en vrouwen;Totaal;Fiets;Totaal;Waarde;2023*;    0.78;    3.75;   20.82
Totaal mannen en vrouwen;Totaal;Fiets;Van en naar het werk;Waarde;1999*;    0.15;    3.50;   17.29
Totaal mannen en vrouwen;Totaal;Fiets;Van en naar het werk;Waarde;2003*;    0.15;    3.58;   17.28
Totaal mannen en vrouwen;Totaal;Fiets;Van en naar het werk;Waarde;2007*;    0.15;    3.71;   17.72
Totaal mannen en vrouwen;Totaal;Fiets;Van en naar het werk;Waarde;2011*;    0.16;    3.81;   17.77
Totaal mannen en vrouwen;Totaal;Fiets;Van en naar het werk;Waarde;2015*;    0.16;    3.92;   17.86
Totaal mannen en vrouwen;Totaal;Fiets;Van en naar het werk;Waarde;2019*;    0.16;    4.04;   18.03
Totaal mannen en vrouwen;Totaal;Fiets;Van en naar het werk;Waarde;2020*;    0.11;    4.02;   18.14
Totaal mannen en vrouwen;Totaal;Fiets;Van en naar het werk;Waarde;2021*;    0.11;    4.06;   18.40
Totaal mannen en vrouwen;Totaal;Fiets;Van en naar het werk;Waarde;2022*;    0.13;    4.17;   18.59
Totaal mannen en vrouwen;Totaal;Fiets;Van en naar het werk;Waarde;2023*;    0.14;    4.22;   18.61
Totaal mannen en vrouwen;Totaal;Fiets;Winkelen, boodschappen doen;Waarde;1999*;    0.20;    1.84;   12.41
Totaal mannen en vrouwen;Totaal;Fiets;Winkelen, boodschappen doen;Waarde;2003*;    0.20;    1.89;   12.20
Totaal mannen en vrouwen;Totaal;Fiets;Winkelen, boodschappen doen;Waarde;2007*;    0.18;    1.94;   12.08
Totaal mannen en vrouwen;Totaal;Fiets;Winkelen, boodschappen doen;Waarde;2011*;    0.17;    1.99;   12.10
Totaal mannen en vrouwen;Totaal;Fiets;Winkelen, boodschappen doen;Waarde;2015*;    0.18;    2.02;   11.95
Totaal mannen en vrouwen;Totaal;Fiets;Winkelen, boodschappen doen;Waarde;2019*;    0.16;    2.06;   11.91
Totaal mannen en vrouwen;Totaal;Fiets;Winkelen, boodschappen doen;Waarde;2020*;    0.16;    1.99;   11.48
Totaal mannen en vrouwen;Totaal;Fiets;Winkelen, boodschappen doen;Waarde;2021*;    0.15;    2.02;   11.84
Totaal mannen en vrouwen;Totaal;Fiets;Winkelen, boodschappen doen;Waarde;2022*;    0.17;    2.06;   11.84
Totaal mannen en vrouwen;Totaal;Fiets;Winkelen, boodschappen doen;Waarde;2023*;    0.17;    2.09;   12.00
Totaal mannen en vrouwen;Totaal;Fiets;Onderwijs volgen, cursus, kinderopvang;Waarde;1999*;    0.12;    2.81;   15.61
Totaal mannen en vrouwen;Totaal;Fiets;Onderwijs volgen, cursus, kinderopvang;Waarde;2003*;    0.12;    2.90;   15.66
Totaal mannen en vrouwen;Totaal;Fiets;Onderwijs volgen, cursus, kinderopvang;Waarde;2007*;    0.13;    3.00;   15.76
Totaal mannen en vrouwen;Totaal;Fiets;Onderwijs volgen, cursus, kinderopvang;Waarde;2011*;    0.14;    3.05;   15.85
Totaal mannen en vrouwen;Totaal;Fiets;Onderwijs volgen, cursus, kinderopvang;Waarde;2015*;    0.13;    3.17;   16.40
Totaal mannen en vrouwen;Totaal;Fiets;Onderwijs volgen, cursus, kinderopvang;Waarde;2019*;    0.13;    3.26;   16.69
Totaal mannen en vrouwen;Totaal;Fiets;Onderwijs volgen, cursus, kinderopvang;Waarde;2020*;    0.08;    3.36;   17.22
Totaal mannen en vrouwen;Totaal;Fiets;Onderwijs volgen, cursus, kinderopvang;Waarde;2021*;    0.08;    3.34;   17.25
Totaal mannen en vrouwen;Totaal;Fiets;Onderwijs volgen, cursus, kinderopvang;Waarde;2022*;    0.10;    3.35;   17.39
Totaal mannen en vrouwen;Totaal;Fiets;Onderwijs volgen, cursus, kinderopvang;Waarde;2023*;    0.11;    3.36;   17.48
Totaal mannen en vrouwen;Totaal;Fiets;Vrije tijd;Waarde;1999*;    0.27;    4.61;   28.74
Totaal mannen en vrouwen;Totaal;Fiets;Vrije tijd;Waarde;2003*;    0.28;    4.72;   29.06
Totaal mannen en vrouwen;Totaal;Fiets;Vrije tijd;Waarde;2007*;    0.27;    4.84;   29.53
Totaal mannen en vrouwen;Totaal;Fiets;Vrije tijd;Waarde;2011*;    0.26;    4.92;   30.12
Totaal mannen en vrouwen;Totaal;Fiets;Vrije tijd;Waarde;2015*;    0.28;    5.04;   30.60
Totaal mannen en vrouwen;Totaal;Fiets;Vrije tijd;Waarde;2019*;    0.27;    5.12;   31.04
Totaal mannen en vrouwen;Totaal;Fiets;Vrije tijd;Waarde;2020*;    0.22;    6.16;   37.77
Totaal mannen en vrouwen;Totaal;Fiets;Vrije tijd;Waarde;2021*;    0.23;    6.14;   38.07
Totaal mannen en vrouwen;Totaal;Fiets;Vrije tijd;Waarde;2022*;    0.27;    5.52;   33.68
Totaal mannen en vrouwen;Totaal;Fiets;Vrije tijd;Waarde;2023*;    0.27;    5.20;   31.65
Totaal mannen en vrouwen;Totaal;Fiets;Overige reismotieven;Waarde;1999*;    0.13;    2.18;   13.69
Totaal mannen en vrouwen;Totaal;Fiets;Overige reismotieven;Waarde;2003*;    0.13;    2.15;   13.29
Totaal mannen en vrouwen;Totaal;Fiets;Overige reismotieven;Waarde;2007*;    0.12;    2.20;   12.94
Totaal mannen en vrouwen;Totaal;Fiets;Overige reismotieven;Waarde;2011*;    0.11;    2.28;   12.91
Totaal mannen en vrouwen;Totaal;Fiets;Overige reismotieven;Waarde;2015*;    0.10;    2.25;   12.67
Totaal mannen en vrouwen;Totaal;Fiets;Overige reismotieven;Waarde;2019*;    0.10;    2.29;   12.67
Totaal mannen en vrouwen;Totaal;Fiets;Overige reismotieven;Waarde;2020*;    0.09;    2.34;   12.85
Totaal mannen en vrouwen;Totaal;Fiets;Overige reismotieven;Waarde;2021*;    0.09;    2.36;   13.26
Totaal mannen en vrouwen;Totaal;Fiets;Overige reismotieven;Waarde;2022*;    0.11;    2.33;   13.01
Totaal mannen en vrouwen;Totaal;Fiets;Overige reismotieven;Waarde;2023*;    0.10;    2.33;   12.85
Totaal mannen en vrouwen;Totaal;Lopen;Totaal;Waarde;1999*;    0.65;    1.30;   20.87
Totaal mannen en vrouwen;Totaal;Lopen;Totaal;Waarde;2003*;    0.62;    1.34;   21.01
Totaal mannen en vrouwen;Totaal;Lopen;Totaal;Waarde;2007*;    0.63;    1.44;   21.36
Totaal mannen en vrouwen;Totaal;Lopen;Totaal;Waarde;2011*;    0.61;    1.41;   20.50
Totaal mannen en vrouwen;Totaal;Lopen;Totaal;Waarde;2015*;    0.60;    1.48;   21.69
Totaal mannen en vrouwen;Totaal;Lopen;Totaal;Waarde;2019*;    0.58;    1.49;   21.31
Totaal mannen en vrouwen;Totaal;Lopen;Totaal;Waarde;2020*;    0.61;    1.84;   26.45
Totaal mannen en vrouwen;Totaal;Lopen;Totaal;Waarde;2021*;    0.69;    1.99;   28.89
Totaal mannen en vrouwen;Totaal;Lopen;Totaal;Waarde;2022*;    0.70;    1.73;   25.43
Totaal mannen en vrouwen;Totaal;Lopen;Totaal;Waarde;2023*;    0.69;    1.65;   24.45
Totaal mannen en vrouwen;Totaal;Lopen;Van en naar het werk;Waarde;1999*;    0.05;    0.89;   10.52
Totaal mannen en vrouwen;Totaal;Lopen;Van en naar het werk;Waarde;2003*;    0.05;    0.87;   10.34
Totaal mannen en vrouwen;Totaal;Lopen;Van en naar het werk;Waarde;2007*;    0.06;    0.89;   10.46
Totaal mannen en vrouwen;Totaal;Lopen;Van en naar het werk;Waarde;2011*;    0.07;    0.82;    9.59
Totaal mannen en vrouwen;Totaal;Lopen;Van en naar het werk;Waarde;2015*;    0.07;    0.79;    9.32
Totaal mannen en vrouwen;Totaal;Lopen;Van en naar het werk;Waarde;2019*;    0.07;    0.79;    9.69
Totaal mannen en vrouwen;Totaal;Lopen;Van en naar het werk;Waarde;2020*;    0.04;    0.76;    9.39
Totaal mannen en vrouwen;Totaal;Lopen;Van en naar het werk;Waarde;2021*;    0.04;    0.81;   10.08
Totaal mannen en vrouwen;Totaal;Lopen;Van en naar het werk;Waarde;2022*;    0.05;    0.80;   10.21
Totaal mannen en vrouwen;Totaal;Lopen;Van en naar het werk;Waarde;2023*;    0.06;    0.81;   10.59
Totaal mannen en vrouwen;Totaal;Lopen;Winkelen, boodschappen doen;Waarde;1999*;    0.16;    0.89;   13.36
Totaal mannen en vrouwen;Totaal;Lopen;Winkelen, boodschappen doen;Waarde;2003*;    0.15;    0.88;   12.91
Totaal mannen en vrouwen;Totaal;Lopen;Winkelen, boodschappen doen;Waarde;2007*;    0.13;    0.88;   12.51
Totaal mannen en vrouwen;Totaal;Lopen;Winkelen, boodschappen doen;Waarde;2011*;    0.13;    0.87;   11.92
Totaal mannen en vrouwen;Totaal;Lopen;Winkelen, boodschappen doen;Waarde;2015*;    0.13;    0.85;   12.43
Totaal mannen en vrouwen;Totaal;Lopen;Winkelen, boodschappen doen;Waarde;2019*;    0.12;    0.80;   11.59
Totaal mannen en vrouwen;Totaal;Lopen;Winkelen, boodschappen doen;Waarde;2020*;    0.13;    0.77;   10.67
Totaal mannen en vrouwen;Totaal;Lopen;Winkelen, boodschappen doen;Waarde;2021*;    0.15;    0.81;   11.35
Totaal mannen en vrouwen;Totaal;Lopen;Winkelen, boodschappen doen;Waarde;2022*;    0.14;    0.80;   11.32
Totaal mannen en vrouwen;Totaal;Lopen;Winkelen, boodschappen doen;Waarde;2023*;    0.14;    0.80;   11.70
Totaal mannen en vrouwen;Totaal;Lopen;Onderwijs volgen, cursus, kinderopvang;Waarde;1999*;    0.08;    0.71;    9.97
Totaal mannen en vrouwen;Totaal;Lopen;Onderwijs volgen, cursus, kinderopvang;Waarde;2003*;    0.07;    0.71;    9.60
Totaal mannen en vrouwen;Totaal;Lopen;Onderwijs volgen, cursus, kinderopvang;Waarde;2007*;    0.07;    0.71;    9.31
Totaal mannen en vrouwen;Totaal;Lopen;Onderwijs volgen, cursus, kinderopvang;Waarde;2011*;    0.07;    0.68;    8.51
Totaal mannen en vrouwen;Totaal;Lopen;Onderwijs volgen, cursus, kinderopvang;Waarde;2015*;    0.06;    0.66;    8.18
Totaal mannen en vrouwen;Totaal;Lopen;Onderwijs volgen, cursus, kinderopvang;Waarde;2019*;    0.06;    0.67;    8.39
Totaal mannen en vrouwen;Totaal;Lopen;Onderwijs volgen, cursus, kinderopvang;Waarde;2020*;    0.03;    0.66;    8.84
Totaal mannen en vrouwen;Totaal;Lopen;Onderwijs volgen, cursus, kinderopvang;Waarde;2021*;    0.04;    0.70;    9.23
Totaal mannen en vrouwen;Totaal;Lopen;Onderwijs volgen, cursus, kinderopvang;Waarde;2022*;    0.05;    0.70;    9.82
Totaal mannen en vrouwen;Totaal;Lopen;Onderwijs volgen, cursus, kinderopvang;Waarde;2023*;    0.05;    0.69;    9.89
Totaal mannen en vrouwen;Totaal;Lopen;Vrije tijd;Waarde;1999*;    0.27;    1.93;   33.08
Totaal mannen en vrouwen;Totaal;Lopen;Vrije tijd;Waarde;2003*;    0.27;    2.02;   33.65
Totaal mannen en vrouwen;Totaal;Lopen;Vrije tijd;Waarde;2007*;    0.28;    2.17;   33.71
Totaal mannen en vrouwen;Totaal;Lopen;Vrije tijd;Waarde;2011*;    0.27;    2.18;   33.26
Totaal mannen en vrouwen;Totaal;Lopen;Vrije tijd;Waarde;2015*;    0.28;    2.28;   34.72
Totaal mannen en vrouwen;Totaal;Lopen;Vrije tijd;Waarde;2019*;    0.27;    2.31;   33.87
Totaal mannen en vrouwen;Totaal;Lopen;Vrije tijd;Waarde;2020*;    0.34;    2.72;   39.50
Totaal mannen en vrouwen;Totaal;Lopen;Vrije tijd;Waarde;2021*;    0.40;    2.88;   42.30
Totaal mannen en vrouwen;Totaal;Lopen;Vrije tijd;Waarde;2022*;    0.38;    2.51;   37.55
Totaal mannen en vrouwen;Totaal;Lopen;Vrije tijd;Waarde;2023*;    0.37;    2.42;   36.41
Totaal mannen en vrouwen;Totaal;Lopen;Overige reismotieven;Waarde;1999*;    0.09;    0.89;   12.77
Totaal mannen en vrouwen;Totaal;Lopen;Overige reismotieven;Waarde;2003*;    0.09;    0.80;   11.81
Totaal mannen en vrouwen;Totaal;Lopen;Overige reismotieven;Waarde;2007*;    0.08;    0.84;   11.46
Totaal mannen en vrouwen;Totaal;Lopen;Overige reismotieven;Waarde;2011*;    0.07;    0.80;   10.69
Totaal mannen en vrouwen;Totaal;Lopen;Overige reismotieven;Waarde;2015*;    0.06;    0.77;   10.06
Totaal mannen en vrouwen;Totaal;Lopen;Overige reismotieven;Waarde;2019*;    0.06;    0.77;   10.05
Totaal mannen en vrouwen;Totaal;Lopen;Overige reismotieven;Waarde;2020*;    0.06;    0.74;    9.95
Totaal mannen en vrouwen;Totaal;Lopen;Overige reismotieven;Waarde;2021*;    0.07;    0.80;   10.71
Totaal mannen en vrouwen;Totaal;Lopen;Overige reismotieven;Waarde;2022*;    0.07;    0.77;   10.62
Totaal mannen en vrouwen;Totaal;Lopen;Overige reismotieven;Waarde;2023*;    0.07;    0.78;   10.68
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Totaal;Waarde;1999*;    0.12;   17.13;   32.31
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Totaal;Waarde;2003*;    0.11;   17.96;   32.59
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Totaal;Waarde;2007*;    0.11;   17.74;   33.71
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Totaal;Waarde;2011*;    0.11;   17.90;   33.08
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Totaal;Waarde;2015*;    0.10;   18.21;   32.82
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Totaal;Waarde;2019*;    0.10;   17.84;   31.94
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Totaal;Waarde;2020*;    0.08;   13.59;   29.87
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Totaal;Waarde;2021*;    0.09;   14.17;   32.39
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Totaal;Waarde;2022*;    0.09;   15.45;   30.64
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Totaal;Waarde;2023*;    0.09;   15.09;   30.05
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Van en naar het werk;Waarde;1999*;    0.05;   17.77;   27.97
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Van en naar het werk;Waarde;2003*;    0.04;   18.52;   27.42
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Van en naar het werk;Waarde;2007*;    0.04;   20.37;   29.66
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Van en naar het werk;Waarde;2011*;    0.04;   20.53;   29.35
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Van en naar het werk;Waarde;2015*;    0.04;   21.43;   28.84
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Van en naar het werk;Waarde;2019*;    0.04;   21.54;   29.36
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Van en naar het werk;Waarde;2020*;    0.03;   16.38;   24.94
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Van en naar het werk;Waarde;2021*;    0.03;   18.66;   27.10
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Van en naar het werk;Waarde;2022*;    0.03;   20.99;   28.07
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Van en naar het werk;Waarde;2023*;    0.03;   18.75;   27.38
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Winkelen, boodschappen doen;Waarde;1999*;    0.01;    6.61;   16.83
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Winkelen, boodschappen doen;Waarde;2003*;    0.01;    6.48;   16.49
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Winkelen, boodschappen doen;Waarde;2007*;    0.01;    6.00;   16.06
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Winkelen, boodschappen doen;Waarde;2011*;    0.01;    5.59;   16.20
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Winkelen, boodschappen doen;Waarde;2015*;    0.01;    5.26;   15.85
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Winkelen, boodschappen doen;Waarde;2019*;    0.01;    5.61;   15.99
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Winkelen, boodschappen doen;Waarde;2020*;    0.01;    4.24;   13.64
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Winkelen, boodschappen doen;Waarde;2021*;    0.01;    4.09;   14.61
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Winkelen, boodschappen doen;Waarde;2022*;    0.01;    4.48;   14.07
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Winkelen, boodschappen doen;Waarde;2023*;    0.01;    5.38;   15.07
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Onderwijs volgen, cursus, kinderopvang;Waarde;1999*;    0.01;    9.96;   28.17
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Onderwijs volgen, cursus, kinderopvang;Waarde;2003*;    0.01;   12.48;   31.10
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Onderwijs volgen, cursus, kinderopvang;Waarde;2007*;    0.01;   12.73;   30.88
